ID,Location1,Location2,Distance_km
52,al. Słowackiego – Prądnicka – Długa,al. Mickiewicza – Reymonta,1.3872816248895024
53,al. Słowackiego – Prądnicka – Długa,Beliny-Prażmowskiego – Brodowicza,1.8099298644201764
54,al. Słowackiego – Prądnicka – Długa,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),4.161928949226277
55,al. Słowackiego – Prądnicka – Długa,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,3.300056595759153
56,al. Słowackiego – Prądnicka – Długa,Zakopiańska – Wadowicka – Tischnera – Brożka,4.957452080038657
57,al. Słowackiego – Prądnicka – Długa,Grota-Roweckiego – Kapelanka – Brożka – Lipińskiego,4.862670072579067
58,al. Słowackiego – Prądnicka – Długa,Wielicka – Powstańców Wielkopolskich – Powstańców Śląskich – Limanowskiego,3.9790004303741004
59,al. Słowackiego – Prądnicka – Długa,Bratysławska – Doktora Twardego – Wybickiego,1.1558557444616278
60,al. Słowackiego – Prądnicka – Długa,Piastowska – Lea,2.209855709317948
61,al. Słowackiego – Prądnicka – Długa,Armii Krajowej – Zarzecze,3.389023045548536
62,al. Słowackiego – Prądnicka – Długa,Grota-Roweckiego – Trasa Łagiewnicka – Norymberska,5.1481956494541485
63,al. Słowackiego – Prądnicka – Długa,Piastowska – Armii Krajowej – Nawojki,2.311511426566164
64,al. Słowackiego – Prądnicka – Długa,Herberta – Turowicza – Trasa Łagiewnicka,6.576955318902806
65,al. Słowackiego – Prądnicka – Długa,Witosa – Nowosądecka – Łużycka,6.986217167564027
66,al. Słowackiego – Prądnicka – Długa,Wielicka – Nowosądecka,6.3492872847594555
67,al. Słowackiego – Prądnicka – Długa,Wielicka – Teligi – Kostaneckiego,8.060440671000814
68,al. Słowackiego – Prądnicka – Długa,al. Jana Pawła II – Klasztorna – Bulwarowa – Ptaszyckiego,8.381573316995757
69,al. Słowackiego – Prądnicka – Długa,Stella-Sawickiego – Wiślicka – al. Bora-Komorowskiego,4.9468095668158485
70,al. Słowackiego – Prądnicka – Długa,al. 29 Listopada – Opolska – Lublańska,1.9379199712468431
71,al. Słowackiego – Prądnicka – Długa,Ks. Józefa – Jodłowa,5.4894743520453435
72,al. Słowackiego – Prądnicka – Długa,Zakopiańska – Jugowicka – Zawiła,7.443712073637219
73,al. Słowackiego – Prądnicka – Długa,Mogilska – Lema – al. Jana Pawła II – Meissnera,3.4137108366973323
74,al. Słowackiego – Prądnicka – Długa,Księcia Józefa – Most Zwierzyniecki,3.5793872695980413
75,al. Słowackiego – Prądnicka – Długa,Pachońskiego – Sosabowskiego – Trasa Wolbromska,2.401763636680733
76,Beliny-Prażmowskiego – Brodowicza,al. Mickiewicza – Piłsudskiego – Focha,2.6493099385087886
77,Beliny-Prażmowskiego – Brodowicza,al. Mickiewicza – Reymonta,2.5944505318873508
78,Beliny-Prażmowskiego – Brodowicza,al. Słowackiego – Prądnicka – Długa,1.8099298644201764
79,Beliny-Prażmowskiego – Brodowicza,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),3.768172345855195
80,Beliny-Prażmowskiego – Brodowicza,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,3.7056857841369424
81,Beliny-Prażmowskiego – Brodowicza,Zakopiańska – Wadowicka – Tischnera – Brożka,4.628883177321362
82,Beliny-Prażmowskiego – Brodowicza,Grota-Roweckiego – Kapelanka – Brożka – Lipińskiego,4.8270979708110655
83,Beliny-Prażmowskiego – Brodowicza,Wielicka – Powstańców Wielkopolskich – Powstańców Śląskich – Limanowskiego,2.90845173556827
84,Beliny-Prażmowskiego – Brodowicza,Bratysławska – Doktora Twardego – Wybickiego,2.568266690872818
85,Beliny-Prażmowskiego – Brodowicza,Piastowska – Lea,3.931685526085571
86,Beliny-Prażmowskiego – Brodowicza,Armii Krajowej – Zarzecze,5.151136439224887
87,Beliny-Prażmowskiego – Brodowicza,Grota-Roweckiego – Trasa Łagiewnicka – Norymberska,5.40538997059619
88,Beliny-Prażmowskiego – Brodowicza,Piastowska – Armii Krajowej – Nawojki,3.9799590728385312
89,Beliny-Prażmowskiego – Brodowicza,Herberta – Turowicza – Trasa Łagiewnicka,5.998518861392748
90,Beliny-Prażmowskiego – Brodowicza,Witosa – Nowosądecka – Łużycka,6.039862492847191
91,Beliny-Prażmowskiego – Brodowicza,Wielicka – Nowosądecka,5.098628103281984
92,Beliny-Prażmowskiego – Brodowicza,Wielicka – Teligi – Kostaneckiego,6.663920899666137
93,Beliny-Prażmowskiego – Brodowicza,al. Jana Pawła II – Klasztorna – Bulwarowa – Ptaszyckiego,6.665299544566387
94,Beliny-Prażmowskiego – Brodowicza,Stella-Sawickiego – Wiślicka – al. Bora-Komorowskiego,3.710756285640377
95,Beliny-Prażmowskiego – Brodowicza,al. 29 Listopada – Opolska – Lublańska,2.0432711981749345
