ID,Location1,Location2,Distance_km,Travel_Time_hr
44,al. Mickiewicza – Reymonta,Stella-Sawickiego – Wiślicka – al. Bora-Komorowskiego,7.133355116732581,0:06:44.954983
45,al. Mickiewicza – Reymonta,al. 29 Listopada – Opolska – Lublańska,3.7823151143960985,0:03:53.684555
46,al. Mickiewicza – Reymonta,Ks. Józefa – Jodłowa,4.9414362177831315,0:06:53.997559
47,al. Mickiewicza – Reymonta,Zakopiańska – Jugowicka – Zawiła,6.803927183021936,0:06:55.777403
48,al. Mickiewicza – Reymonta,Mogilska – Lema – al. Jana Pawła II – Meissnera,5.6572496739791465,0:06:45.029502
49,al. Mickiewicza – Reymonta,Księcia Józefa – Most Zwierzyniecki,2.6415121549328573,0:03:58.687496
50,al. Mickiewicza – Reymonta,Pachońskiego – Sosabowskiego – Trasa Wolbromska,4.4029723613621154,0:05:14.107032
51,al. Słowackiego – Prądnicka – Długa,al. Mickiewicza – Piłsudskiego – Focha,2.0407675061102424,0:02:26.935260
52,al. Słowackiego – Prądnicka – Długa,al. Mickiewicza – Reymonta,1.5095117599694516,0:01:48.684847
53,al. Słowackiego – Prądnicka – Długa,Beliny-Prażmowskiego – Brodowicza,2.6539898456124336,0:03:08.794794
54,al. Słowackiego – Prądnicka – Długa,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),4.953568541021191,0:05:20.558826
55,al. Słowackiego – Prądnicka – Długa,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,4.105410020480904,0:04:54.179296
56,al. Słowackiego – Prądnicka – Długa,Zakopiańska – Wadowicka – Tischnera – Brożka,5.728596405930954,0:06:16.360832
57,al. Słowackiego – Prądnicka – Długa,Grota-Roweckiego – Kapelanka – Brożka – Lipińskiego,5.8558366194178975,0:06:45.529545
58,al. Słowackiego – Prądnicka – Długa,Wielicka – Powstańców Wielkopolskich – Powstańców Śląskich – Limanowskiego,5.388989934350543,0:06:15.485808
59,al. Słowackiego – Prądnicka – Długa,Bratysławska – Doktora Twardego – Wybickiego,1.33567121858669,0:01:36.168328
60,al. Słowackiego – Prądnicka – Długa,Piastowska – Lea,2.7918736012837835,0:03:21.014899
61,al. Słowackiego – Prądnicka – Długa,Armii Krajowej – Zarzecze,4.342206266524156,0:05:12.638851
62,al. Słowackiego – Prądnicka – Długa,Grota-Roweckiego – Trasa Łagiewnicka – Norymberska,6.501973366941319,0:07:26.272776
63,al. Słowackiego – Prądnicka – Długa,Piastowska – Armii Krajowej – Nawojki,2.828343293505267,0:03:23.640717
64,al. Słowackiego – Prądnicka – Długa,Herberta – Turowicza – Trasa Łagiewnicka,7.503453302077881,0:07:46.996805
65,al. Słowackiego – Prądnicka – Długa,Witosa – Nowosądecka – Łużycka,8.24755595614179,0:09:06.822126
66,al. Słowackiego – Prądnicka – Długa,Wielicka – Nowosądecka,8.105910537985256,0:08:23.596914
67,al. Słowackiego – Prądnicka – Długa,Wielicka – Teligi – Kostaneckiego,9.92424371977268,0:09:57.027760
68,al. Słowackiego – Prądnicka – Długa,al. Jana Pawła II – Klasztorna – Bulwarowa – Ptaszyckiego,10.897774589340463,0:10:12.901193
69,al. Słowackiego – Prądnicka – Długa,Stella-Sawickiego – Wiślicka – al. Bora-Komorowskiego,5.664812339633346,0:04:59.219903
70,al. Słowackiego – Prądnicka – Długa,al. 29 Listopada – Opolska – Lublańska,2.313772337296864,0:02:07.949475
71,al. Słowackiego – Prądnicka – Długa,Ks. Józefa – Jodłowa,6.450947977752584,0:08:42.682406
72,al. Słowackiego – Prądnicka – Długa,Zakopiańska – Jugowicka – Zawiła,8.313438942991386,0:08:44.462250
73,al. Słowackiego – Prądnicka – Długa,Mogilska – Lema – al. Jana Pawła II – Meissnera,4.1887068968799115,0:04:59.294422
74,al. Słowackiego – Prądnicka – Długa,Księcia Józefa – Most Zwierzyniecki,4.15102391490231,0:05:47.372343
75,al. Słowackiego – Prądnicka – Długa,Pachońskiego – Sosabowskiego – Trasa Wolbromska,2.8688237268156676,0:03:23.648331
76,Beliny-Prażmowskiego – Brodowicza,al. Mickiewicza – Piłsudskiego – Focha,4.564080078769328,0:05:22.638769
77,Beliny-Prażmowskiego – Brodowicza,al. Mickiewicza – Reymonta,4.032824332628535,0:04:44.388355
78,Beliny-Prażmowskiego – Brodowicza,al. Słowackiego – Prądnicka – Długa,2.523312572659084,0:02:55.703508
79,Beliny-Prażmowskiego – Brodowicza,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),4.688663700389655,0:05:31.599342
80,Beliny-Prażmowskiego – Brodowicza,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,4.69148133295355,0:05:24.276174
81,Beliny-Prażmowskiego – Brodowicza,Zakopiańska – Wadowicka – Tischnera – Brożka,5.463691565299419,0:06:27.401348
82,Beliny-Prażmowskiego – Brodowicza,Grota-Roweckiego – Kapelanka – Brożka – Lipińskiego,6.441907931890544,0:07:15.626423
83,Beliny-Prażmowskiego – Brodowicza,Wielicka – Powstańców Wielkopolskich – Powstańców Śląskich – Limanowskiego,3.702524375297023,0:04:16.352762
84,Beliny-Prażmowskiego – Brodowicza,Bratysławska – Doktora Twardego – Wybickiego,3.8244465413517905,0:04:29.385154
85,Beliny-Prażmowskiego – Brodowicza,Piastowska – Lea,5.315186173942868,0:06:16.718408
86,Beliny-Prażmowskiego – Brodowicza,Armii Krajowej – Zarzecze,6.86551883918324,0:08:08.342360
87,Beliny-Prażmowskiego – Brodowicza,Grota-Roweckiego – Trasa Łagiewnicka – Norymberska,7.088044679413965,0:07:56.369654
88,Beliny-Prażmowskiego – Brodowicza,Piastowska – Armii Krajowej – Nawojki,5.351655866164351,0:06:19.344226
89,Beliny-Prażmowskiego – Brodowicza,Herberta – Turowicza – Trasa Łagiewnicka,7.25647998054167,0:07:31.186825
90,Beliny-Prażmowskiego – Brodowicza,Witosa – Nowosądecka – Łużycka,7.808478586658503,0:08:21.076218
91,Beliny-Prażmowskiego – Brodowicza,Wielicka – Nowosądecka,6.1281581617514576,0:06:45.727311
92,Beliny-Prażmowskiego – Brodowicza,Wielicka – Teligi – Kostaneckiego,7.946491343538881,0:08:19.158158
93,Beliny-Prażmowskiego – Brodowicza,al. Jana Pawła II – Klasztorna – Bulwarowa – Ptaszyckiego,7.671659802093952,0:08:22.931315
94,Beliny-Prażmowskiego – Brodowicza,Stella-Sawickiego – Wiślicka – al. Bora-Komorowskiego,4.602892474998597,0:04:46.073676
95,Beliny-Prażmowskiego – Brodowicza,al. 29 Listopada – Opolska – Lublańska,2.6936992521069656,0:02:57.601771
96,Beliny-Prażmowskiego – Brodowicza,Ks. Józefa – Jodłowa,8.476640353743903,0:09:56.710954
97,Beliny-Prażmowskiego – Brodowicza,Zakopiańska – Jugowicka – Zawiła,8.048534102359849,0:08:55.502766
98,Beliny-Prażmowskiego – Brodowicza,Mogilska – Lema – al. Jana Pawła II – Meissnera,2.5022413378263915,0:03:00.161376
99,Beliny-Prażmowskiego – Brodowicza,Księcia Józefa – Most Zwierzyniecki,6.176716290893633,0:07:01.400892
100,Beliny-Prażmowskiego – Brodowicza,Pachońskiego – Sosabowskiego – Trasa Wolbromska,4.926831485235494,0:05:06.866071
101,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),al. Mickiewicza – Piłsudskiego – Focha,2.836569625757708,0:02:56.664953
102,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),al. Mickiewicza – Reymonta,3.3545324577349445,0:03:33.958277
103,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),al. Słowackiego – Prądnicka – Długa,4.8233339694147475,0:05:19.711985
104,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),Beliny-Prażmowskiego – Brodowicza,4.71585772547594,0:05:31.637284
105,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,2.463256081765587,0:02:35.694701
106,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),Zakopiańska – Wadowicka – Tischnera – Brożka,0.9360492351516944,0:01:07.395545
107,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),Grota-Roweckiego – Kapelanka – Brożka – Lipińskiego,1.6935804619072232,0:02:01.842225
108,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),Wielicka – Powstańców Wielkopolskich – Powstańców Śląskich – Limanowskiego,2.2553970458172667,0:02:00.812817
109,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),Bratysławska – Doktora Twardego – Wybickiego,6.159005188001437,0:06:55.880313
110,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),Piastowska – Lea,5.348045524615766,0:05:57.491217
111,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),Armii Krajowej – Zarzecze,6.612713119746546,0:07:28.547284
112,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),Grota-Roweckiego – Trasa Łagiewnicka – Norymberska,2.713409563595283,0:03:02.371208
113,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),Piastowska – Armii Krajowej – Nawojki,5.098850146727657,0:05:39.549150
114,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),Herberta – Turowicza – Trasa Łagiewnicka,2.7109061312986213,0:02:38.031518
115,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),Witosa – Nowosądecka – Łużycka,3.4550087853625313,0:03:57.856839
116,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),Wielicka – Nowosądecka,3.3133633672059952,0:03:14.631627
117,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),Wielicka – Teligi – Kostaneckiego,5.131696548993417,0:04:48.062473
118,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),al. Jana Pawła II – Klasztorna – Bulwarowa – Ptaszyckiego,10.529591681054193,0:09:55.870606
119,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),Stella-Sawickiego – Wiślicka – al. Bora-Komorowskiego,9.227027988286277,0:08:02.904941
120,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),al. 29 Listopada – Opolska – Lublańska,7.0715004492643985,0:07:22.937838
121,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),Ks. Józefa – Jodłowa,6.248415102555942,0:07:08.129482
122,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),Zakopiańska – Jugowicka – Zawiła,3.5208917722121256,0:03:35.496962
123,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),Mogilska – Lema – al. Jana Pawła II – Meissnera,6.250574776743417,0:07:22.136911
124,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),Księcia Józefa – Most Zwierzyniecki,3.9484910397056687,0:04:12.819419
125,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),Pachońskiego – Sosabowskiego – Trasa Wolbromska,7.6921576962304155,0:08:43.360316
126,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,al. Mickiewicza – Piłsudskiego – Focha,2.251940149114384,0:02:35.954345
127,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,al. Mickiewicza – Reymonta,2.76990298109162,0:03:13.247668
128,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,al. Słowackiego – Prądnicka – Długa,4.238704492771424,0:04:59.001377
129,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,Beliny-Prażmowskiego – Brodowicza,4.716522676558991,0:05:47.371406
130,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),2.484263219769167,0:02:27.366265
131,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,Zakopiańska – Wadowicka – Tischnera – Brożka,2.5827009163570502,0:02:51.273999
